County_name,date,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Hillsborough County,2020-11-08,19722,6452,-,-,-,-,7271,17037,13071,18378,19033,50482
Holmes County,2020-11-08,744,88,-,-,-,-,55,82,35,803,131,969
Indian River County,2020-11-08,2430,459,-,-,-,-,387,849,792,2332,1001,4125
Jackson County,2020-11-08,1574,639,-,-,-,-,158,924,115,1764,1416,3295
Jefferson County,2020-11-08,289,344,-,-,-,-,43,16,33,611,48,692
Lafayette County,2020-11-08,881,350,-,-,-,-,40,20,156,1052,83,1291
Lake County,2020-11-08,3924,1083,-,-,-,-,1751,2370,1529,4930,2669,9128
Lee County,2020-11-08,11961,2214,-,-,-,-,1460,8784,5363,9960,9096,24419
Leon County,2020-11-08,5127,3211,-,-,-,-,1670,2597,1108,7252,4245,12605
Levy County,2020-11-08,738,184,-,-,-,-,188,92,232,853,117,1202
Liberty County,2020-11-08,367,126,-,-,-,-,29,26,30,399,119,548
Madison County,2020-11-08,364,650,-,-,-,-,57,33,55,958,91,1104
Manatee County,2020-11-08,7693,1329,-,-,-,-,2288,2650,3933,6991,3036,13960
Marion County,2020-11-08,7516,2060,-,-,-,-,991,718,1534,8636,1115,11285
Martin County,2020-11-08,2651,282,-,-,-,-,1205,1379,1914,2396,1207,5517
Monroe County,2020-11-08,1874,183,-,-,-,-,100,353,876,1225,409,2510
Nassau County,2020-11-08,1946,228,-,-,-,-,110,125,106,2141,162,2409
Okaloosa County,2020-11-08,3528,566,-,-,-,-,1380,1515,706,4770,1513,6989
Okeechobee County,2020-11-08,1279,220,-,-,-,-,202,100,689,1010,102,1801
Orange County,2020-11-08,17751,7671,-,-,-,-,10319,12614,13799,16999,17557,48355
Osceola County,2020-11-08,5938,949,-,-,-,-,4727,3377,8067,3386,3538,14991
Palm Beach County,2020-11-08,23379,8389,-,-,-,-,9686,13462,14894,25216,14806,54916
Pasco County,2020-11-08,8479,808,-,-,-,-,1700,704,2721,8040,930,11691
Pinellas County,2020-11-08,17763,4484,-,-,-,-,2585,2620,3217,19188,5047,27452
Polk County,2020-11-08,14146,4172,-,-,-,-,2036,3632,6994,12378,4614,23986
Putnam County,2020-11-08,1520,666,-,-,-,-,239,55,475,1920,85,2480
Santa Rosa County,2020-11-08,4279,617,-,-,-,-,386,880,272,4884,1006,6162
Sarasota County,2020-11-08,6036,740,-,-,-,-,1118,2403,1420,5902,2975,10297
Seminole County,2020-11-08,7201,1355,-,-,-,-,1527,803,2857,7218,811,10886
St. Johns County,2020-11-08,5108,502,-,-,-,-,483,823,592,5329,995,6916
St. Lucie County,2020-11-08,4140,2159,-,-,-,-,1285,1901,2137,5015,2333,9485
Sumter County,2020-11-08,1610,509,-,-,-,-,158,796,151,1831,1091,3073
Suwannee County,2020-11-08,1880,606,-,-,-,-,432,133,538,2304,209,3051
Taylor County,2020-11-08,827,569,-,-,-,-,81,50,131,1306,90,1527
Union County,2020-11-08,812,309,-,-,-,-,37,19,39,1124,14,1177
Volusia County,2020-11-08,6812,1681,-,-,-,-,2644,2411,2191,8295,3062,13548
Wakulla County,2020-11-08,948,235,-,-,-,-,104,91,64,1176,138,1378
Walton County,2020-11-08,1799,244,-,-,-,-,115,577,360,1806,569,2735
Washington County,2020-11-08,804,282,-,-,-,-,54,149,38,862,389,1289
